time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.027609,4,643.445,594.241,1714.233,706.772,2724.994,1125.128,4259.774,1002.351,--undefined--,--undefined--
0.033859,4,836.815,743.449,1701.733,786.122,3007.508,867.354,4310.838,885.472,--undefined--,--undefined--
0.040109,4,775.315,831.956,1876.855,766.308,3218.993,463.678,4850.705,1224.271,--undefined--,--undefined--
0.046359,5,701.531,456.335,1827.220,653.288,3316.766,3454.857,3335.719,583.274,4988.384,969.428
0.052609,5,758.687,545.658,1629.331,1035.482,2821.303,1164.343,3589.940,807.963,4928.046,631.066
0.058859,5,713.433,609.306,1947.142,1080.082,2537.708,2130.912,3534.770,720.000,5086.915,671.290
0.065109,4,689.915,474.345,1961.252,493.250,3328.629,393.557,4590.829,1490.541,--undefined--,--undefined--
0.071359,5,786.242,371.064,1887.988,819.297,3240.696,2164.731,3321.457,696.189,5051.909,760.028
0.077609,5,782.164,412.728,1797.448,665.695,2979.040,762.641,3759.025,973.856,4969.663,709.075
0.083859,5,789.054,533.579,1723.525,789.689,3020.721,706.302,3802.149,1725.773,4873.850,1114.948
0.090109,5,806.755,438.648,1781.055,535.607,3076.378,392.523,4638.882,1402.760,5246.072,3229.275
0.096359,5,880.421,475.051,1656.444,1221.228,2671.773,899.662,3681.006,880.664,5033.360,661.138
0.102609,5,863.746,312.637,1786.296,604.210,2741.474,676.172,3906.638,724.999,4974.833,676.374
0.108859,5,877.963,987.926,1789.920,1014.104,2835.246,2282.601,3485.114,827.005,4859.098,617.124
0.115109,5,785.528,591.402,1661.443,858.316,2843.360,672.827,3669.393,641.174,4942.937,399.808
0.121359,5,832.697,375.451,1741.131,976.721,2891.469,664.369,3669.465,834.982,5074.598,570.113
0.127609,5,721.803,559.892,1629.896,694.975,2986.761,437.636,3941.131,592.503,5093.234,955.868
0.133859,4,859.552,573.853,2400.113,1193.344,3269.953,1233.489,4068.766,830.679,--undefined--,--undefined--
0.140109,5,885.645,432.369,2031.161,832.343,3273.389,1277.169,3665.924,1459.995,4926.981,1081.997
0.146359,5,901.780,579.824,1728.556,1200.997,2700.939,670.664,3763.900,548.214,5129.322,760.649
0.152609,5,753.252,538.376,1747.205,650.610,2938.560,786.242,3773.283,688.382,5178.371,896.398
0.158859,5,802.908,548.596,1724.167,593.716,2985.748,1130.627,3768.943,539.900,5038.263,672.950
0.165109,5,735.169,414.269,1812.427,480.229,2946.879,548.397,3852.341,660.023,4963.246,736.472
0.171359,5,713.487,459.777,1861.140,601.734,2939.329,558.280,3921.271,953.950,5030.764,1146.726
0.177609,5,708.323,1576.424,1439.162,1680.870,2588.658,1384.246,3692.725,722.773,4781.411,1091.036
0.183859,5,634.133,1571.617,1381.975,1344.076,2516.904,719.290,3848.493,721.597,4883.182,901.240
0.190109,5,750.708,542.675,1871.180,1291.349,2611.639,634.622,3819.345,966.581,5003.157,945.467
0.196359,5,763.159,573.152,1638.297,849.378,2585.272,487.290,3661.615,599.921,4868.342,456.538
0.202609,5,680.038,553.626,1694.428,490.642,2722.433,711.758,3651.454,693.711,5004.362,633.361
0.208859,5,527.394,574.692,1824.468,583.219,2793.266,1131.974,3463.701,1023.121,5025.239,688.460
0.215109,5,629.853,716.226,1735.260,908.985,2720.964,1029.638,3677.676,1169.511,5007.139,664.921
0.221359,5,734.919,592.173,1710.105,766.907,2860.353,636.322,3977.990,1295.505,4946.273,758.047
0.227609,5,740.328,438.572,1665.450,439.893,2794.876,626.780,3888.840,688.751,5026.549,638.958
0.233859,5,714.930,455.457,1568.962,494.305,2706.195,720.217,3817.357,837.068,4892.878,560.531
0.240109,5,620.148,519.815,1562.949,465.141,2712.342,568.273,3877.201,1102.342,4780.758,712.590
0.246359,5,789.299,682.517,1616.574,883.818,2400.927,1535.288,3692.878,1072.183,4780.787,575.668
0.252609,5,791.842,366.472,1708.058,531.055,2526.922,1407.317,3634.168,542.700,4968.069,661.190
0.258859,5,722.592,351.723,1766.617,800.978,2879.268,1506.001,3642.274,805.520,5074.979,1356.826
0.265109,4,939.162,445.260,2110.282,1540.634,2835.876,1193.170,4128.909,631.007,--undefined--,--undefined--
0.271359,5,881.659,427.968,1625.567,2127.119,2328.285,629.540,3740.773,972.670,4664.443,824.131
0.277609,4,963.214,495.530,2264.519,560.034,3224.402,1294.034,4647.895,718.363,--undefined--,--undefined--
0.283859,5,781.181,609.470,1547.155,1203.617,2652.221,748.615,4579.162,2193.487,4633.363,1211.475
0.290109,5,710.367,470.776,1557.776,413.497,2704.470,710.305,3751.202,694.036,4918.458,679.896
0.296359,5,616.972,430.332,1561.199,274.082,2735.921,442.719,3713.049,630.994,4857.955,450.459
0.302609,5,556.987,722.223,1585.762,497.730,2826.554,807.564,3767.658,845.889,4909.059,1068.013
0.308859,5,766.294,1147.561,1850.910,4793.841,1955.674,1265.815,3351.067,706.142,4773.899,823.119
0.315109,5,607.921,724.187,1634.920,1181.263,2781.085,818.381,3719.511,1248.466,4884.985,1090.349
0.321359,4,847.799,503.602,2304.768,579.362,3515.821,1881.905,4008.827,1092.607,--undefined--,--undefined--
0.327609,4,856.771,491.701,2088.341,628.906,3448.257,1074.737,4769.067,1709.873,--undefined--,--undefined--
0.333859,5,708.539,462.858,1700.890,418.949,2782.589,888.852,3841.232,1095.014,4993.170,1225.205
0.340109,5,692.668,356.644,1658.293,472.242,2843.004,542.677,4137.565,883.605,5051.516,1922.129
0.346359,5,740.453,768.467,1600.946,1212.078,2678.131,938.432,3985.483,1196.269,4731.789,1482.631
0.352609,4,981.261,507.664,2599.634,1195.576,2860.489,627.416,4549.476,609.369,--undefined--,--undefined--
0.358859,4,837.298,748.588,2406.235,993.441,2997.450,567.235,4571.336,496.770,--undefined--,--undefined--
0.365109,5,693.173,718.471,1830.344,1401.598,2793.296,1453.180,3355.998,1363.609,4590.521,780.652
0.371359,5,527.022,1073.798,1527.277,716.794,2600.260,718.738,3617.153,651.148,4817.320,641.839
